"","orig.ident","nCount_RNA","nFeature_RNA","integrated_snn_res.3.4","seurat_clusters","cl.conserv","cl.HC.LC.split","cl.Ab.split.3","cl.Ab.split.4","diameter","drg_level","drg_location","batch","donor","cl.conserv_final"
"N2-RL5-154","SeuratProject",135133,6951,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",46.04284828,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-155","SeuratProject",147881,9385,"10","10","NP1","NP1","NP1","NP1",63.1186708,"lumbar","lumbar 5",3,"N2","hNP1"
"N2-RL5-156","SeuratProject",160149,5355,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",46.46949865,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-157","SeuratProject",156032,4961,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",74.44737627,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-158","SeuratProject",232273,10930,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",54.64198737,"lumbar","lumbar 5",3,"N2","hPEP.PIEZOh"
"N2-RL5-159","SeuratProject",166761,6197,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",59.33386387,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-160","SeuratProject",153719,9315,"1","1","NP1","NP1","NP1","NP1",64.14912532,"lumbar","lumbar 5",3,"N2","hNP1"
"N2-RL5-162","SeuratProject",54912,3418,"1","1","NP1","NP1","NP1","NP1",33.4921492,"lumbar","lumbar 5",3,"N2","hNP1"
"N2-RL5-163","SeuratProject",71559,6445,"1","1","NP1","NP1","NP1","NP1",55.72639682,"lumbar","lumbar 5",3,"N2","hNP1"
"N2-RL5-164","SeuratProject",134916,8792,"4","4","PEP.H8","PEP.H8.HC","PEP.H8","PEP.H8",62.89638569,"lumbar","lumbar 5",3,"N2","hPEP.NTRK3"
"N2-RL5-165","SeuratProject",117016,4569,"3","3","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",60.77555415,"lumbar","lumbar 5",3,"N2","hAb.LTMR"
"N2-RL5-166","SeuratProject",130649,3137,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",81.57955144,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-167","SeuratProject",65753,5643,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",38.81033892,"lumbar","lumbar 5",3,"N2","hPEP.TRPV1/A1.1"
"N2-RL5-169","SeuratProject",108206,7215,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",80.84267867,"lumbar","lumbar 5",3,"N2","hAb.LTMR"
"N2-RL5-170","SeuratProject",186568,10074,"2","2","Un.Gi","Un.Gi","Un.Gi","Un.Gi",57.28122173,"lumbar","lumbar 5",3,"N2","hATF3"
"N2-RL5-171","SeuratProject",71604,6106,"12","12","NP3","NP3","NP3","NP3",57.1588377,"lumbar","lumbar 5",3,"N2","hPEP.SST"
"N2-RL5-173","SeuratProject",107298,5871,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",76.71318841,"lumbar","lumbar 5",3,"N2","hAb.LTMR"
