"","orig.ident","nCount_RNA","nFeature_RNA","integrated_snn_res.3.4","seurat_clusters","cl.conserv","cl.HC.LC.split","cl.Ab.split.3","cl.Ab.split.4","diameter","drg_level","drg_location","batch","donor","cl.conserv_final"
"N3-RL2-121","SeuratProject",394773,11426,"4","4","PEP.H8","PEP.H8.HC","PEP.H8","PEP.H8",63.78087813,"lumbar","lumbar 2",2,"N3","hPEP.NTRK3"
"N3-RL2-123","SeuratProject",146102,7035,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",49.58452987,"lumbar","lumbar 2",2,"N3","hPEP.CHRNA7"
"N3-RL2-124","SeuratProject",138628,5033,"0","0","Propr","Propr","Propr","Propr",80.03541878,"lumbar","lumbar 2",2,"N3","hPropr"
"N3-RL2-125","SeuratProject",139341,5079,"2","2","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",46.56529804,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-126","SeuratProject",51699,5929,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",75.77803405,"lumbar","lumbar 2",3,"N3","hAb.LTMR"
"N3-RL2-127","SeuratProject",156981,8637,"1","1","NP1","NP1","NP1","NP1",45.37431409,"lumbar","lumbar 2",3,"N3","hNP1"
"N3-RL2-128","SeuratProject",192879,8051,"10","10","NP1","NP1","NP1","NP1",55.41708973,"lumbar","lumbar 2",3,"N3","hNP1"
"N3-RL2-129","SeuratProject",158912,5961,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",55.90888244,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-130","SeuratProject",175350,6244,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",57.19224114,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-131","SeuratProject",190574,7552,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",61.57684166,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-132","SeuratProject",150356,7810,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",54.07986025,"lumbar","lumbar 2",3,"N3","hPEP.CHRNA7"
"N3-RL2-133","SeuratProject",380251,11719,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",55.46302185,"lumbar","lumbar 2",3,"N3","hPEP.CHRNA7"
"N3-RL2-134","SeuratProject",213824,6767,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",80.86629961,"lumbar","lumbar 2",3,"N3","hAb.LTMR"
"N3-RL2-135","SeuratProject",163324,5890,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",59.10811594,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-136","SeuratProject",255090,8585,"10","10","NP1","NP1","NP1","NP1",39.81435998,"lumbar","lumbar 2",3,"N3","hNP1"
"N3-RL2-137","SeuratProject",352651,10915,"1","1","NP1","NP1","NP1","NP1",57.85625999,"lumbar","lumbar 2",3,"N3","hNP1"
"N3-RL2-138","SeuratProject",91038,5888,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",45.8627492,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-139","SeuratProject",282848,9770,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",52.7449377,"lumbar","lumbar 2",3,"N3","hPEP.PIEZOh"
"N3-RL2-140","SeuratProject",200063,8627,"0","0","Propr","Propr","Propr","Propr",50.55088337,"lumbar","lumbar 2",3,"N3","hPropr"
"N3-RL2-142","SeuratProject",86294,6347,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",36.35412865,"lumbar","lumbar 2",3,"N3","hPEP.TRPV1/A1.1"
"N3-RL2-143","SeuratProject",193600,4331,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",51.41250179,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-144","SeuratProject",240220,9150,"0","0","Propr","Propr","Propr","Propr",91.17555116,"lumbar","lumbar 2",3,"N3","hPropr"
"N3-RL2-145","SeuratProject",133486,10175,"1","1","NP1","NP1","NP1","NP1",48.34943478,"lumbar","lumbar 2",3,"N3","hNP1"
"N3-RL2-146","SeuratProject",142003,5913,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",37.84698815,"lumbar","lumbar 2",3,"N3","hPEP.TRPV1/A1.1"
"N3-RL2-147","SeuratProject",91912,4248,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",52.01570992,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-148","SeuratProject",146067,7421,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",57.03619107,"lumbar","lumbar 2",3,"N3","hAd.LTMR"
"N3-RL2-149","SeuratProject",75660,2624,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",54.54870179,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-150","SeuratProject",152338,7867,"12","12","NP3","NP3","NP3","NP3",54.90930061,"lumbar","lumbar 2",3,"N3","hPEP.SST"
"N3-RL2-151","SeuratProject",173245,6708,"12","12","NP3","NP3","NP3","NP3",49.08125161,"lumbar","lumbar 2",3,"N3","hPEP.SST"
"N3-RL2-152","SeuratProject",152435,7721,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",55.96578717,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-153","SeuratProject",214099,8685,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",81.12567608,"lumbar","lumbar 2",3,"N3","hAb.LTMR"
"N3-RL2-154","SeuratProject",353708,11184,"10","10","NP1","NP1","NP1","NP1",52.7449377,"lumbar","lumbar 2",3,"N3","hNP1"
"N3-RL2-155","SeuratProject",158737,8244,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",52.91364481,"lumbar","lumbar 2",3,"N3","hPEP.CHRNA7"
"N3-RL2-156","SeuratProject",389526,12164,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",87.85430127,"lumbar","lumbar 2",3,"N3","hAb.LTMR"
"N3-RL2-157","SeuratProject",114864,6991,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",38.24855895,"lumbar","lumbar 2",3,"N3","hPEP.TRPV1/A1.1"
"N3-RL2-158","SeuratProject",120631,5036,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",44.92309777,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-159","SeuratProject",107256,5668,"1","1","NP1","NP1","NP1","NP1",52.13795618,"lumbar","lumbar 2",3,"N3","hNP1"
"N3-RL2-160","SeuratProject",141783,5041,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",55.48597365,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-161","SeuratProject",165993,6124,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",50.86475006,"lumbar","lumbar 2",3,"N3","hPEP.CHRNA7"
"N3-RL2-162","SeuratProject",153170,5070,"3","3","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",66.93676146,"lumbar","lumbar 2",3,"N3","hAb.LTMR"
"N3-RL2-163","SeuratProject",144477,4313,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",71.71202555,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-164","SeuratProject",181281,6309,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.14",71.79187813,"lumbar","lumbar 2",3,"N3","hAb.LTMR"
"N3-RL2-165","SeuratProject",163186,6348,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",56.47534961,"lumbar","lumbar 2",3,"N3","hAd.LTMR"
"N3-RL2-166","SeuratProject",259553,9223,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",54.70021007,"lumbar","lumbar 2",3,"N3","hAd.LTMR"
"N3-RL2-167","SeuratProject",194477,6460,"14","14","PEP3","PEP3","PEP3","PEP3",49.59736729,"lumbar","lumbar 2",3,"N3","hPEP.KIT"
"N3-RL2-168","SeuratProject",339202,10236,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.12",72.93555312,"lumbar","lumbar 2",3,"N3","hAb.LTMR"
"N3-RL2-169","SeuratProject",276226,11320,"10","10","NP1","NP1","NP1","NP1",51.81951607,"lumbar","lumbar 2",3,"N3","hNP1"
"N3-RL2-170","SeuratProject",175060,6997,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",48.07213136,"lumbar","lumbar 2",3,"N3","hAd.LTMR"
"N3-RL2-171","SeuratProject",283270,9988,"9","9","TRPM8","TRPM8","TRPM8","TRPM8",39.39643425,"lumbar","lumbar 2",3,"N3","hTRPM8"
"N3-RL2-172","SeuratProject",276519,5791,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",50.38690004,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-173","SeuratProject",155474,8110,"14","14","PEP3","PEP3","PEP3","PEP3",60.43942684,"lumbar","lumbar 2",3,"N3","hPEP.KIT"
"N3-RL2-174","SeuratProject",126173,4894,"3","3","TRPM8","TRPM8","TRPM8","TRPM8",31.37218808,"lumbar","lumbar 2",3,"N3","hTRPM8"
"N3-RL2-175","SeuratProject",119514,6680,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",64.23837977,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-176","SeuratProject",128368,8702,"10","10","NP1","NP1","NP1","NP1",54.7699956,"lumbar","lumbar 2",3,"N3","hNP1"
"N3-RL2-177","SeuratProject",132447,6367,"1","1","NP1","NP1","NP1","NP1",50.32368724,"lumbar","lumbar 2",3,"N3","hNP1"
"N3-RL2-178","SeuratProject",103453,5997,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",37.04797231,"lumbar","lumbar 2",3,"N3","hPEP.TRPV1/A1.1"
"N3-RL2-179","SeuratProject",246991,10572,"15","15","PEP.H4.15","PEP.H4.15","PEP.H4.15","PEP.H4.15",39.75034971,"lumbar","lumbar 2",3,"N3","hPEP.TRPV1/A1.2"
"N3-RL2-180","SeuratProject",201650,8171,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",56.35121541,"lumbar","lumbar 2",3,"N3","hPEP.NTRK3"
"N3-RL2-181","SeuratProject",154716,5890,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",53.05782394,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-182","SeuratProject",331765,9336,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",38.31507823,"lumbar","lumbar 2",3,"N3","hPEP.PIEZOh"
"N3-RL2-183","SeuratProject",123619,5413,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",47.95279613,"lumbar","lumbar 2",3,"N3","hPEP.0"
"N3-RL2-184","SeuratProject",166802,9118,"10","10","NP1","NP1","NP1","NP1",49.45597241,"lumbar","lumbar 2",3,"N3","hNP1"
"N3-RL2-185","SeuratProject",183830,7479,"18","18","Un.Gi","Un.Gi","Un.Gi","Un.Gi",42.87840872,"lumbar","lumbar 2",3,"N3","hATF3"
"N3-RL2-186","SeuratProject",320539,10625,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",54.00918299,"lumbar","lumbar 2",3,"N3","hPEP.PIEZOh"
"N3-RL2-187","SeuratProject",239187,11267,"10","10","NP1","NP1","NP1","NP1",46.31855643,"lumbar","lumbar 2",3,"N3","hNP1"
"N3-RL2-188","SeuratProject",533334,13270,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",69.39302588,"lumbar","lumbar 2",3,"N3","hAb.LTMR"
"N3-RT11-1","SeuratProject",135278,8044,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",51.31334547,"thoracic","thoracic 11",1,"N3","hPEP.CHRNA7"
"N3-RT11-2","SeuratProject",92979,8743,"10","10","NP1","NP1","NP1","NP1",45.61220727,"thoracic","thoracic 11",1,"N3","hNP1"
"N3-RT11-3","SeuratProject",121469,7809,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",75.74442215,"thoracic","thoracic 11",1,"N3","hAb.LTMR"
"N3-RT11-4","SeuratProject",106317,8217,"1","1","NP1","NP1","NP1","NP1",52.25991648,"thoracic","thoracic 11",1,"N3","hNP1"
"N3-RT11-5","SeuratProject",126223,7776,"7","7","Un.Gi","Un.Gi","Un.Gi","Un.Gi",62.16335001,"thoracic","thoracic 11",1,"N3","hATF3"
"N3-RT11-6","SeuratProject",121695,6482,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",58.29473735,"thoracic","thoracic 11",1,"N3","hAb.LTMR"
"N3-RT11-7","SeuratProject",111132,7652,"1","1","NP1","NP1","NP1","NP1",48.71671738,"thoracic","thoracic 11",1,"N3","hNP1"
"N3-RT11-8","SeuratProject",149793,8052,"12","12","NP3","NP3","NP3","NP3",56.73402528,"thoracic","thoracic 11",1,"N3","hPEP.SST"
"N3-RT11-9","SeuratProject",105490,6308,"12","12","NP3","NP3","NP3","NP3",42.22008282,"thoracic","thoracic 11",1,"N3","hPEP.SST"
"N3-RT11-10","SeuratProject",86433,6373,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",55.35962099,"thoracic","thoracic 11",1,"N3","hPEP.NTRK3"
"N3-RT11-11","SeuratProject",92611,6745,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",45.90437324,"thoracic","thoracic 11",1,"N3","hAd.LTMR"
"N3-RT11-12","SeuratProject",145973,7141,"1","1","NP1","NP1","NP1","NP1",35.48568629,"thoracic","thoracic 11",1,"N3","hNP1"
"N3-RT11-13","SeuratProject",111016,5324,"0","0","Propr","Propr","Propr","Propr",70.61165727,"thoracic","thoracic 11",1,"N3","hPropr"
"N3-RT11-14","SeuratProject",137416,9905,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",61.21392035,"thoracic","thoracic 11",1,"N3","hPEP.0"
"N3-RT11-15","SeuratProject",196142,9415,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",55.35962099,"thoracic","thoracic 11",1,"N3","hPEP.TRPV1/A1.1"
"N3-RT11-16","SeuratProject",105848,7059,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",55.81771421,"thoracic","thoracic 11",1,"N3","hPEP.NTRK3"
"N3-RT11-17","SeuratProject",414058,12365,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",68.18062523,"thoracic","thoracic 11",1,"N3","hAb.LTMR"
"N3-RT11-18","SeuratProject",68755,6398,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",68.67371662,"thoracic","thoracic 11",1,"N3","hPEP.0"
"N3-RT11-19","SeuratProject",148350,8414,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",68.8773593,"thoracic","thoracic 11",1,"N3","hAb.LTMR"
"N3-RT11-20","SeuratProject",85495,6786,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",64.87934962,"thoracic","thoracic 11",1,"N3","hAb.LTMR"
"N3-RT11-21","SeuratProject",100191,7518,"12","12","NP3","NP3","NP3","NP3",58.4365341,"thoracic","thoracic 11",1,"N3","hPEP.SST"
"N3-RT11-22","SeuratProject",73644,7277,"1","1","NP1","NP1","NP1","NP1",50.28572142,"thoracic","thoracic 11",1,"N3","hNP1"
"N3-RT11-24","SeuratProject",94005,6539,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",42.86355905,"thoracic","thoracic 11",1,"N3","hAd.LTMR"
"N3-RT11-25","SeuratProject",114211,7387,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",56.4302415,"thoracic","thoracic 11",1,"N3","hPEP.CHRNA7"
"N3-RT11-26","SeuratProject",89335,5742,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",58.01010407,"thoracic","thoracic 11",1,"N3","hPEP.NTRK3"
"N3-RT11-27","SeuratProject",102428,7304,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",63.12875607,"thoracic","thoracic 11",1,"N3","hAb.LTMR"
"N3-RT11-28","SeuratProject",86935,5921,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",50.13357063,"thoracic","thoracic 11",1,"N3","hPEP.CHRNA7"
"N3-RT11-29","SeuratProject",267218,10739,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",44.79537428,"thoracic","thoracic 11",1,"N3","hAd.LTMR"
"N3-RT11-30","SeuratProject",77063,6706,"1","1","NP1","NP1","NP1","NP1",47.52606644,"thoracic","thoracic 11",1,"N3","hNP1"
"N3-RT11-31","SeuratProject",240038,10414,"0","0","Propr","Propr","Propr","Propr",47.93951833,"thoracic","thoracic 11",1,"N3","hPropr"
"N3-RT11-32","SeuratProject",100872,6932,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",48.45465675,"thoracic","thoracic 11",1,"N3","hPEP.TRPV1/A1.1"
"N3-RT11-33","SeuratProject",47032,6338,"1","1","NP1","NP1","NP1","NP1",48.54653888,"thoracic","thoracic 11",1,"N3","hNP1"
"N3-RT11-34","SeuratProject",87375,7167,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",54.7932377,"thoracic","thoracic 11",1,"N3","hPEP.CHRNA7"
"N3-RT11-35","SeuratProject",64207,5697,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",52.27209685,"thoracic","thoracic 11",1,"N3","hPEP.CHRNA7"
"N3-RT11-36","SeuratProject",118253,6168,"0","0","Propr","Propr","Propr","Propr",54.7699956,"thoracic","thoracic 11",1,"N3","hPropr"
"N3-RT11-37","SeuratProject",117603,7956,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.14",62.24522472,"thoracic","thoracic 11",1,"N3","hAb.LTMR"
"N3-RT11-38","SeuratProject",64904,5350,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",52.84140771,"thoracic","thoracic 11",1,"N3","hPEP.CHRNA7"
"N3-RT11-39","SeuratProject",62713,5824,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",47.21697238,"thoracic","thoracic 11",1,"N3","hAd.LTMR"
"N3-RT11-40","SeuratProject",102816,7605,"0","0","Propr","Propr","Propr","Propr",51.91770567,"thoracic","thoracic 11",1,"N3","hPropr"
"N3-RT11-41","SeuratProject",101520,7230,"1","1","NP1","NP1","NP1","NP1",42.12951407,"thoracic","thoracic 11",1,"N3","hNP1"
"N3-RT11-42","SeuratProject",155166,5495,"0","0","Propr","Propr","Propr","Propr",57.9222432,"thoracic","thoracic 11",1,"N3","hPropr"
"N3-RT11-43","SeuratProject",104226,7513,"0","0","Propr","Propr","Propr","Propr",56.76767868,"thoracic","thoracic 11",1,"N3","hPropr"
"N3-RT11-44","SeuratProject",168922,10245,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",43.97784558,"thoracic","thoracic 11",1,"N3","hAd.LTMR"
"N3-RT11-45","SeuratProject",63855,6743,"16","16","NP2","NP2","NP2","NP2",49.82787528,"thoracic","thoracic 11",1,"N3","hNP2"
"N3-RT11-46","SeuratProject",67919,7505,"1","1","NP1","NP1","NP1","NP1",46.18090811,"thoracic","thoracic 11",1,"N3","hNP1"
"N3-RT11-47","SeuratProject",156020,8578,"0","0","Propr","Propr","Propr","Propr",55.81771421,"thoracic","thoracic 11",1,"N3","hPropr"
"N3-RT11-48","SeuratProject",308534,10950,"0","0","Propr","Propr","Propr","Propr",55.7834877,"thoracic","thoracic 11",1,"N3","hPropr"
"N3-RT11-49","SeuratProject",101057,8561,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",64.30771425,"thoracic","thoracic 11",1,"N3","hPEP.NTRK3"
"N3-RT11-50","SeuratProject",70425,6164,"12","12","NP3","NP3","NP3","NP3",42.59537982,"thoracic","thoracic 11",1,"N3","hPEP.SST"
"N3-RT11-51","SeuratProject",74395,7173,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",61.0264347,"thoracic","thoracic 11",1,"N3","hPEP.NTRK3"
"N3-RT11-52","SeuratProject",76975,6614,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",61.05772228,"thoracic","thoracic 11",1,"N3","hAd.LTMR"
"N3-RT11-54","SeuratProject",84541,6761,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",50.43741323,"thoracic","thoracic 11",1,"N3","hPEP.TRPV1/A1.1"
"N3-RT11-56","SeuratProject",290605,11520,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",51.23885231,"thoracic","thoracic 11",1,"N3","hPEP.PIEZOh"
"N3-RT11-57","SeuratProject",131897,9746,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",44.36697386,"thoracic","thoracic 11",1,"N3","hAd.LTMR"
"N3-RT11-58","SeuratProject",120041,6952,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.12",56.7003519,"thoracic","thoracic 11",1,"N3","hAb.LTMR"
"N3-RT11-59","SeuratProject",246128,11324,"18","18","Un.Gi","Un.Gi","Un.Gi","Un.Gi",48.84722047,"thoracic","thoracic 11",1,"N3","hATF3"
"N3-RT11-60","SeuratProject",100141,6760,"12","12","NP3","NP3","NP3","NP3",50.71433648,"thoracic","thoracic 11",1,"N3","hPEP.SST"
"N3-RT11-61","SeuratProject",235973,10870,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",45.0787128,"thoracic","thoracic 11",1,"N3","hPEP.PIEZOh"
"N3-RT11-62","SeuratProject",114222,5514,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",43.96336727,"thoracic","thoracic 11",1,"N3","hPEP.0"
"N3-RT11-63","SeuratProject",140859,5895,"0","0","Propr","Propr","Propr","Propr",37.27069046,"thoracic","thoracic 11",1,"N3","hPropr"
"N3-RT11-64","SeuratProject",150867,6437,"12","12","NP3","NP3","NP3","NP3",47.97934072,"thoracic","thoracic 11",1,"N3","hPEP.SST"
"N3-RT11-66","SeuratProject",103114,4988,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",55.24450417,"thoracic","thoracic 11",1,"N3","hPEP.0"
"N3-RT11-67","SeuratProject",133687,7680,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",54.46694585,"thoracic","thoracic 11",1,"N3","hAb.LTMR"
"N3-RT11-68","SeuratProject",89812,6846,"12","12","NP3","NP3","NP3","NP3",40.79367737,"thoracic","thoracic 11",1,"N3","hPEP.SST"
"N3-RT11-70","SeuratProject",76178,6307,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",54.60702395,"thoracic","thoracic 11",1,"N3","hPEP.0"
"N3-RT11-71","SeuratProject",57875,6687,"1","1","NP1","NP1","NP1","NP1",47.36505163,"thoracic","thoracic 11",1,"N3","hNP1"
"N3-RT11-72","SeuratProject",123415,7581,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",44.4816174,"thoracic","thoracic 11",1,"N3","hAb.LTMR"
"N3-RT11-73","SeuratProject",84906,7461,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",47.14950989,"thoracic","thoracic 11",1,"N3","hAd.LTMR"
"N3-RT11-74","SeuratProject",65352,7134,"16","16","NP2","NP2","NP2","NP2",50.51308832,"thoracic","thoracic 11",1,"N3","hNP2"
"N3-RT11-76","SeuratProject",148969,9660,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",44.35262259,"thoracic","thoracic 11",1,"N3","hAd.LTMR"
"N3-RT11-77","SeuratProject",112986,9037,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",48.40207436,"thoracic","thoracic 11",1,"N3","hPEP.CHRNA7"
"N3-RT11-78","SeuratProject",138375,8121,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",38.46432602,"thoracic","thoracic 11",1,"N3","hAd.LTMR"
"N3-RT11-79","SeuratProject",6660,2642,"4","4","PEP1.3","PEP1.3","PEP1.3","PEP1.3",50.08275098,"thoracic","thoracic 11",1,"N3","hPEP.NTRK3"
"N3-RT11-80","SeuratProject",80192,6061,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",63.35022584,"thoracic","thoracic 11",1,"N3","hAb.LTMR"
"N3-RT11-81","SeuratProject",8551,3024,"3","3","NP1","NP1","NP1","NP1",53.36887586,"thoracic","thoracic 11",1,"N3","hPEP.0"
"N3-RT11-82","SeuratProject",89266,6892,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",56.65542293,"thoracic","thoracic 11",1,"N3","hPEP.NTRK3"
"N3-RT11-83","SeuratProject",75620,8152,"10","10","NP1","NP1","NP1","NP1",46.96009933,"thoracic","thoracic 11",1,"N3","hNP1"
"N3-RT11-84","SeuratProject",90636,6399,"0","0","Propr","Propr","Propr","Propr",55.34812008,"thoracic","thoracic 11",1,"N3","hPropr"
"N3-RT11-85","SeuratProject",156451,9759,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.14",65.52203054,"thoracic","thoracic 11",1,"N3","hAb.LTMR"
"N3-RT11-86","SeuratProject",189770,9088,"0","0","Propr","Propr","Propr","Propr",59.0670574,"thoracic","thoracic 11",1,"N3","hPropr"
"N3-RT11-87","SeuratProject",104764,6939,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",NA,"thoracic","thoracic 11",1,"N3","hPEP.0"
"N3-RT11-88","SeuratProject",562558,11778,"0","0","Propr","Propr","Propr","Propr",53.50047756,"thoracic","thoracic 11",1,"N3","hPropr"
"N3-RT11-89","SeuratProject",129289,7011,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",45.6731716,"thoracic","thoracic 11",1,"N3","hAd.LTMR"
"N3-RT11-90","SeuratProject",150885,7084,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",41.28792328,"thoracic","thoracic 11",1,"N3","hAd.LTMR"
"N3-RT11-92","SeuratProject",120165,8782,"10","10","NP1","NP1","NP1","NP1",42.78215126,"thoracic","thoracic 11",1,"N3","hNP1"
"N3-RT11-93","SeuratProject",125671,7025,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",54.058924,"thoracic","thoracic 11",1,"N3","hPEP.NTRK3"
"N3-RT11-94","SeuratProject",68264,7446,"1","1","NP1","NP1","NP1","NP1",56.39562383,"thoracic","thoracic 11",1,"N3","hNP1"
"N3-RT11-95","SeuratProject",206640,7152,"3","3","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",65.0495111,"thoracic","thoracic 11",1,"N3","hAb.LTMR"
"N3-RT11-96","SeuratProject",335023,12151,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",51.78257622,"thoracic","thoracic 11",1,"N3","hAd.LTMR"
