"","orig.ident","nCount_RNA","nFeature_RNA","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron826","pbmc3k",5653,80,"14","14","hPEP0","hPEP.0","PEP"
"Neuron827","pbmc3k",10945,72,"12","12","hPropr","hPropr","NF"
"Neuron828","pbmc3k",3603,55,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron829","pbmc3k",10386,73,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron830","pbmc3k",5629,69,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron831","pbmc3k",9423,74,"12","12","hPropr","hPropr","NF"
"Neuron832","pbmc3k",14569,76,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron833","pbmc3k",6509,56,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron834","pbmc3k",8952,74,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron835","pbmc3k",3620,63,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron836","pbmc3k",4179,61,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron837","pbmc3k",11152,75,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron838","pbmc3k",3425,68,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron839","pbmc3k",2998,74,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron840","pbmc3k",4417,64,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron841","pbmc3k",4134,72,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron842","pbmc3k",2580,59,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron843","pbmc3k",2415,68,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron844","pbmc3k",6824,71,"0","0","hNP1","hNP1","NP"
"Neuron845","pbmc3k",3447,61,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron846","pbmc3k",851,54,"5","5","hNP1","hC.LTMR","NP"
"Neuron847","pbmc3k",3555,69,"12","12","hPropr","hPropr","NF"
"Neuron848","pbmc3k",5509,78,"5","5","hNP1","hNP1","NP"
"Neuron849","pbmc3k",3202,77,"3","3","hSST","hSST","NP"
"Neuron850","pbmc3k",6029,82,"5","5","hNP1","hNP1","NP"
"Neuron851","pbmc3k",6133,72,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron852","pbmc3k",3047,63,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron854","pbmc3k",6138,70,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron855","pbmc3k",1848,65,"0","0","hNP1","hNP1","NP"
"Neuron856","pbmc3k",1665,68,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron857","pbmc3k",443,44,"14","14","hPEP0","hPEP.0","PEP"
"Neuron858","pbmc3k",3870,76,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron859","pbmc3k",3003,60,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron860","pbmc3k",4784,73,"0","0","hNP1","hNP1","NP"
"Neuron861","pbmc3k",5380,72,"0","0","hNP1","hNP1","NP"
"Neuron862","pbmc3k",5151,61,"0","0","hNP1","hNP1","NP"
"Neuron863","pbmc3k",938,50,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron864","pbmc3k",860,57,"14","14","hPEP0","hPEP.0","PEP"
"Neuron865","pbmc3k",5267,60,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron866","pbmc3k",393,47,"14","14","hPEP0","hPEP.0","PEP"
"Neuron867","pbmc3k",1386,59,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron868","pbmc3k",9724,65,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron869","pbmc3k",13278,68,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron870","pbmc3k",1086,60,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron872","pbmc3k",5856,76,"3","3","hSST","hSST","NP"
"Neuron873","pbmc3k",5155,66,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron874","pbmc3k",13961,72,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron875","pbmc3k",4780,70,"12","12","hPropr","hPropr","NF"
"Neuron876","pbmc3k",11519,73,"12","12","hPropr","hPropr","NF"
"Neuron877","pbmc3k",7014,67,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron878","pbmc3k",9199,67,"12","12","hPropr","hPropr","NF"
"Neuron879","pbmc3k",9555,73,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron880","pbmc3k",8350,74,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron881","pbmc3k",6762,74,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron882","pbmc3k",8377,69,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron883","pbmc3k",10053,66,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron884","pbmc3k",5759,66,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron885","pbmc3k",5744,70,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron886","pbmc3k",6324,67,"12","12","hPropr","hPropr","NF"
"Neuron887","pbmc3k",9467,76,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron888","pbmc3k",4006,68,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron889","pbmc3k",11838,73,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron891","pbmc3k",8721,74,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron892","pbmc3k",1855,58,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron894","pbmc3k",850,56,"12","12","hPropr","hPropr","NF"
"Neuron895","pbmc3k",9043,68,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron896","pbmc3k",3215,51,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron897","pbmc3k",3007,54,"8","8","hAb.LTMR","hAb.LTMR","NF"
