"","orig.ident","nCount_RNA","nFeature_RNA","cell_id","donor","level","Xenium_id","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron1063","pbmc3k",3687,67,"11642-07394","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron1064","pbmc3k",8138,73,"11937-07690","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1065","pbmc3k",247,38,"12404-07494","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron1066","pbmc3k",6006,70,"10366-08611","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1067","pbmc3k",7122,76,"09869-08583","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","3","3","hSST","hSST","NP"
"Neuron1068","pbmc3k",86,24,"09919-09029","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron1069","pbmc3k",10310,72,"10132-09620","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1070","pbmc3k",4074,61,"09751-09701","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron1071","pbmc3k",5504,68,"10322-10368","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hATF3","NF"
"Neuron1072","pbmc3k",3317,57,"10525-10144","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1073","pbmc3k",4560,67,"10643-10086","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1074","pbmc3k",1017,70,"10667-10264","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron1075","pbmc3k",10812,71,"10945-10127","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1076","pbmc3k",1045,63,"11034-09888","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1077","pbmc3k",402,33,"10773-10841","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron1078","pbmc3k",4020,68,"10941-10946","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1079","pbmc3k",2925,68,"11378-11199","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1080","pbmc3k",6163,77,"11574-11673","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1081","pbmc3k",1818,59,"11229-11633","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1082","pbmc3k",1038,54,"11302-11542","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron1083","pbmc3k",2657,66,"11084-11653","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1084","pbmc3k",551,48,"11855-11394","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1085","pbmc3k",247,42,"11821-11319","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron1086","pbmc3k",3202,60,"11667-10952","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1087","pbmc3k",5256,74,"11713-10847","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1088","pbmc3k",986,57,"11601-10798","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1089","pbmc3k",525,60,"11417-10793","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","3","3","hSST","hSST","NP"
"Neuron1090","pbmc3k",1188,57,"11988-10924","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1091","pbmc3k",5100,69,"11808-10439","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1092","pbmc3k",155,38,"11942-10494","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1093","pbmc3k",434,52,"11945-10617","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1094","pbmc3k",634,57,"12012-10533","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1095","pbmc3k",5724,68,"12308-10693","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1096","pbmc3k",660,50,"12434-10757","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron1097","pbmc3k",233,39,"12511-11361","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1098","pbmc3k",4121,64,"12572-11006","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1099","pbmc3k",1844,63,"13039-10888","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1100","pbmc3k",1412,60,"13140-10752","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1101","pbmc3k",3535,73,"13330-10528","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1102","pbmc3k",1178,58,"13858-10145","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron1103","pbmc3k",4156,67,"13667-09594","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1104","pbmc3k",809,51,"13777-09764","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron1105","pbmc3k",17172,77,"12666-10217","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1106","pbmc3k",2487,56,"12915-10471","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1107","pbmc3k",6680,67,"12443-09451","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1108","pbmc3k",297,46,"12595-09736","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron1109","pbmc3k",122,34,"13041-09559","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron1110","pbmc3k",4338,77,"XETG00171__0018220_DRG-Region_4_RoiSet_real_size.zip","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron1111","pbmc3k",4899,74,"01208-07154","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron1112","pbmc3k",991,64,"01153-07494","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1113","pbmc3k",6049,67,"01213-08347","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1114","pbmc3k",1358,52,"01404-08714","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron1115","pbmc3k",4331,74,"01255-08850","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron1116","pbmc3k",451,56,"01089-08860","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1117","pbmc3k",3974,73,"00966-08838","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","3","3","hSST","hSST","NP"
"Neuron1118","pbmc3k",5879,70,"01114-09022","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1119","pbmc3k",1836,61,"01276-09161","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1120","pbmc3k",10506,72,"01230-09366","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1121","pbmc3k",808,54,"01591-08733","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1122","pbmc3k",874,56,"01620-08843","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1123","pbmc3k",8649,70,"01576-09371","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1124","pbmc3k",6953,71,"01611-09771","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1125","pbmc3k",3812,62,"01651-09641","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1126","pbmc3k",3055,69,"01319-09734","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1127","pbmc3k",2141,69,"01238-09782","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron1128","pbmc3k",8093,75,"01354-10012","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron1129","pbmc3k",3362,62,"01524-10039","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1130","pbmc3k",2779,72,"01875-09700","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron1131","pbmc3k",831,62,"01819-09391","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron1132","pbmc3k",6185,70,"01814-10159","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1133","pbmc3k",7453,77,"01771-10433","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1134","pbmc3k",5202,78,"01793-10674","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","3","3","hSST","hSST","NP"
"Neuron1135","pbmc3k",4469,62,"01959-10889","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1136","pbmc3k",4416,63,"02077-10433","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1137","pbmc3k",1629,59,"02256-10586","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1138","pbmc3k",7448,74,"02199-10802","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron1139","pbmc3k",2645,62,"02279-11053","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron1140","pbmc3k",3023,59,"02528-11344","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1141","pbmc3k",3136,57,"02547-11483","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1142","pbmc3k",3854,71,"02779-11401","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1143","pbmc3k",917,53,"02683-11029","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1144","pbmc3k",2385,68,"02882-11602","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1145","pbmc3k",6429,78,"02982-11778","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1146","pbmc3k",4568,72,"03115-11633","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1147","pbmc3k",2913,72,"03150-11403","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron1148","pbmc3k",4268,60,"03308-11404","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1149","pbmc3k",2865,64,"03504-11715","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1150","pbmc3k",3412,65,"03473-11998","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron1151","pbmc3k",3103,69,"03663-11896","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1152","pbmc3k",694,56,"03583-12120","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1153","pbmc3k",4487,76,"03793-12473","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron1154","pbmc3k",1256,57,"03941-12459","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron1155","pbmc3k",2216,69,"04062-12379","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","3","3","hSST","hSST","NP"
"Neuron1156","pbmc3k",6229,60,"04210-12547","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron1157","pbmc3k",1378,52,"04410-12547","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1158","pbmc3k",6174,71,"04597-12619","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1159","pbmc3k",8427,71,"04473-12342","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1160","pbmc3k",9404,73,"04900-12424","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1161","pbmc3k",9374,77,"05108-12821","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron1162","pbmc3k",6725,67,"05344-12363","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1163","pbmc3k",7884,71,"05652-12617","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron1164","pbmc3k",3167,60,"05685-12364","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1165","pbmc3k",7313,70,"05965-12227","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron1166","pbmc3k",3735,71,"05835-12127","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron1167","pbmc3k",969,65,"05722-12220","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron1168","pbmc3k",2546,70,"05918-11976","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron1169","pbmc3k",6141,72,"05789-11781","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1170","pbmc3k",5206,75,"05658-12089","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron1171","pbmc3k",3900,64,"05455-11999","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1172","pbmc3k",5413,75,"05654-11319","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1173","pbmc3k",6724,74,"05622-11165","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron1174","pbmc3k",4307,74,"05386-11157","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","5","5","hNP1","hC.LTMR","C.LTMR"
"Neuron1175","pbmc3k",7901,75,"05263-11348","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1176","pbmc3k",4122,56,"05051-11023","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron1177","pbmc3k",1221,47,"05380-10768","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron1178","pbmc3k",6589,63,"04969-10603","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron1179","pbmc3k",4468,62,"04746-10349","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1180","pbmc3k",8405,69,"04727-10083","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron1181","pbmc3k",4050,64,"05548-09225","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1182","pbmc3k",16143,75,"05769-09032","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron1183","pbmc3k",12462,67,"05598-08571","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","8","8","hAb.LTMR","hATF3","NF"
"Neuron1184","pbmc3k",10542,71,"05328-07429","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron1185","pbmc3k",11918,73,"05198-07124","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron1186","pbmc3k",23557,79,"04562-06620","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1187","pbmc3k",10284,68,"02265-07668","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","8","8","hAb.LTMR","hATF3","NF"
"Neuron1188","pbmc3k",2045,60,"01977-07884","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1189","pbmc3k",884,53,"01988-08474","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1190","pbmc3k",7248,77,"02445-08573","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1191","pbmc3k",3551,65,"02296-08763","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1192","pbmc3k",5512,69,"02104-09078","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1193","pbmc3k",924,56,"02931-08646","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron1194","pbmc3k",2253,55,"02896-08825","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron1195","pbmc3k",2088,67,"03192-09054","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron1196","pbmc3k",6906,70,"03420-08132","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1197","pbmc3k",1389,57,"02409-09035","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1198","pbmc3k",733,53,"02442-09397","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron1199","pbmc3k",1839,65,"02161-09572","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1200","pbmc3k",467,66,"01991-09973","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron1201","pbmc3k",175,42,"02276-09783","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1202","pbmc3k",2657,68,"02560-10315","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron1203","pbmc3k",3560,66,"02643-10123","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","3","3","hSST","hSST","NP"
"Neuron1204","pbmc3k",3935,72,"02817-10499","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron1205","pbmc3k",10231,75,"02628-10541","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1206","pbmc3k",6255,73,"02760-10757","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1207","pbmc3k",1294,56,"02917-10702","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1208","pbmc3k",3674,64,"03100-09624","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1209","pbmc3k",8865,81,"03114-09899","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1210","pbmc3k",1629,66,"03369-09618","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron1211","pbmc3k",1067,62,"03363-09359","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1212","pbmc3k",6636,76,"03397-09836","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1213","pbmc3k",9289,73,"03254-10303","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1214","pbmc3k",4320,72,"03312-10839","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1215","pbmc3k",7385,71,"03400-11013","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron1216","pbmc3k",103,37,"03394-10916","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron1217","pbmc3k",3486,68,"03201-11095","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1218","pbmc3k",2194,67,"03430-11192","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1219","pbmc3k",9132,83,"03585-11339","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1220","pbmc3k",2245,53,"03638-11614","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1221","pbmc3k",5300,72,"03849-11455","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1222","pbmc3k",165,37,"03821-11200","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron1223","pbmc3k",995,51,"04310-10888","N4","T12","output-XETG00171__0018220__Region_4__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
