"","orig.ident","nCount_RNA","nFeature_RNA","cell_id","donor","level","Xenium_id","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron139","pbmc3k",5231,63,"12866-04262","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron140","pbmc3k",2224,64,"12084-05030","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron141","pbmc3k",7616,73,"12037-04775","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron142","pbmc3k",4180,74,"12837-05972","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron143","pbmc3k",1328,57,"12807-06139","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron144","pbmc3k",992,60,"12784-06503","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron145","pbmc3k",937,60,"12760-06364","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron146","pbmc3k",5590,70,"12505-06189","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron147","pbmc3k",6565,70,"12544-05920","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron148","pbmc3k",5100,67,"12279-05881","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron149","pbmc3k",8507,66,"12108-06120","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron150","pbmc3k",4133,67,"12519-06667","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron151","pbmc3k",1819,57,"12467-06806","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron152","pbmc3k",7768,76,"12192-06680","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron153","pbmc3k",907,55,"13233-06961","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron154","pbmc3k",133,34,"12972-07093","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron155","pbmc3k",1992,60,"13018-07196","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron156","pbmc3k",370,56,"12683-06933","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron157","pbmc3k",2129,61,"11146-05008","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron158","pbmc3k",4556,68,"10976-05262","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron159","pbmc3k",938,61,"10820-05207","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron160","pbmc3k",628,50,"10828-04571","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
