,orig.ident,nCount_RNA,nFeature_RNA,seurat_clusters,donor,batch,location,level,cl.conserv_final,sample_id
N4-RL3-36,SeuratProject,108570,7450,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-36
N4-RL3-37,SeuratProject,136610,6196,2,N4,2,lumbar 3,lumbar,PEP.H0,N4-RL3-37
N4-RL3-38,SeuratProject,125006,6883,15,N4,2,lumbar 3,lumbar,PEP.H4.15,N4-RL3-38
N4-RL3-39,SeuratProject,82084,5275,9,N4,2,lumbar 3,lumbar,PEP1.13,N4-RL3-39
N4-RL3-40,SeuratProject,81081,6311,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-40
N4-RL3-41,SeuratProject,176898,8435,0,N4,2,lumbar 3,lumbar,Propr,N4-RL3-41
N4-RL3-42,SeuratProject,43644,4455,14,N4,2,lumbar 3,lumbar,PEP3,N4-RL3-42
N4-RL3-43,SeuratProject,127506,7801,15,N4,2,lumbar 3,lumbar,PEP.H4.15,N4-RL3-43
N4-RL3-44,SeuratProject,100857,5853,11,N4,2,lumbar 3,lumbar,Ad.LTMR,N4-RL3-44
N4-RL3-45,SeuratProject,153073,6273,2,N4,2,lumbar 3,lumbar,PEP.H0,N4-RL3-45
N4-RL3-46,SeuratProject,253079,10068,8,N4,2,lumbar 3,lumbar,PEP.H4,N4-RL3-46
N4-RL3-47,SeuratProject,125360,7432,10,N4,2,lumbar 3,lumbar,NP1,N4-RL3-47
N4-RL3-48,SeuratProject,142423,6501,11,N4,2,lumbar 3,lumbar,Ad.LTMR,N4-RL3-48
N4-RL3-49,SeuratProject,260054,10684,0,N4,2,lumbar 3,lumbar,Propr,N4-RL3-49
N4-RL3-50,SeuratProject,181312,9094,5,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-50
N4-RL3-51,SeuratProject,165117,9685,0,N4,2,lumbar 3,lumbar,Propr,N4-RL3-51
N4-RL3-52,SeuratProject,158485,7132,9,N4,2,lumbar 3,lumbar,PEP1.13,N4-RL3-52
N4-RL3-53,SeuratProject,150983,8967,10,N4,2,lumbar 3,lumbar,NP1,N4-RL3-53
N4-RL3-54,SeuratProject,248687,10621,13,N4,2,lumbar 3,lumbar,Ad.LTMR,N4-RL3-54
N4-RL3-55,SeuratProject,103969,6901,8,N4,2,lumbar 3,lumbar,PEP.H4,N4-RL3-55
N4-RL3-56,SeuratProject,367588,11320,8,N4,2,lumbar 3,lumbar,PEP.H4,N4-RL3-56
N4-RL3-57,SeuratProject,99780,6436,11,N4,2,lumbar 3,lumbar,Ad.LTMR,N4-RL3-57
N4-RL3-58,SeuratProject,89223,6766,0,N4,2,lumbar 3,lumbar,Un.Gi,N4-RL3-58
N4-RL3-59,SeuratProject,144753,9224,10,N4,2,lumbar 3,lumbar,NP1,N4-RL3-59
N4-RL3-60,SeuratProject,127798,7834,16,N4,2,lumbar 3,lumbar,NP2,N4-RL3-60
N4-RL3-62,SeuratProject,87296,6403,14,N4,2,lumbar 3,lumbar,PEP3,N4-RL3-62
N4-RL3-64,SeuratProject,111945,7302,16,N4,2,lumbar 3,lumbar,NP2,N4-RL3-64
N4-RL3-65,SeuratProject,66983,4772,6,N4,2,lumbar 3,lumbar,PEP.H5,N4-RL3-65
N4-RL3-66,SeuratProject,90376,6744,2,N4,2,lumbar 3,lumbar,PEP.H0,N4-RL3-66
N4-RL3-67,SeuratProject,92471,6267,4,N4,2,lumbar 3,lumbar,PEP.H8,N4-RL3-67
N4-RL3-68,SeuratProject,172670,7450,9,N4,2,lumbar 3,lumbar,PEP1.13,N4-RL3-68
N4-RL3-69,SeuratProject,198609,8872,15,N4,2,lumbar 3,lumbar,PEP.H4.15,N4-RL3-69
N4-RL3-70,SeuratProject,111881,4100,9,N4,2,lumbar 3,lumbar,PEP1.13,N4-RL3-70
N4-RL3-71,SeuratProject,129893,8350,5,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-71
N4-RL3-72,SeuratProject,88844,6798,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-72
N4-RL3-73,SeuratProject,81632,6817,14,N4,2,lumbar 3,lumbar,PEP3,N4-RL3-73
N4-RL3-74,SeuratProject,80858,6535,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-74
N4-RL3-75,SeuratProject,113758,5645,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-75
N4-RL3-76,SeuratProject,163216,5949,12,N4,2,lumbar 3,lumbar,NP3,N4-RL3-76
N4-RL3-77,SeuratProject,384260,11001,13,N4,2,lumbar 3,lumbar,Ad.LTMR,N4-RL3-77
N4-RL3-78,SeuratProject,252392,11458,16,N4,2,lumbar 3,lumbar,NP2,N4-RL3-78
N4-RL3-79,SeuratProject,161484,8483,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-79
N4-RL3-80,SeuratProject,423396,11848,13,N4,2,lumbar 3,lumbar,Ad.LTMR,N4-RL3-80
N4-RL3-82,SeuratProject,104362,6265,4,N4,2,lumbar 3,lumbar,PEP.H8,N4-RL3-82
N4-RL3-83,SeuratProject,95130,5915,4,N4,2,lumbar 3,lumbar,PEP.H8,N4-RL3-83
N4-RL3-84,SeuratProject,114041,7617,0,N4,2,lumbar 3,lumbar,Propr,N4-RL3-84
N4-RL3-85,SeuratProject,254177,10986,8,N4,2,lumbar 3,lumbar,PEP.H4,N4-RL3-85
N4-RL3-86,SeuratProject,82024,4898,9,N4,2,lumbar 3,lumbar,PEP1.13,N4-RL3-86
N4-RL3-87,SeuratProject,357772,9153,7,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-87
N4-RL3-88,SeuratProject,302599,9399,0,N4,2,lumbar 3,lumbar,Propr,N4-RL3-88
N4-RL3-89,SeuratProject,219347,6078,7,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-89
N4-RL3-90,SeuratProject,428173,11857,7,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-90
N4-RL3-91,SeuratProject,275641,10141,6,N4,2,lumbar 3,lumbar,PEP.H5,N4-RL3-91
N4-RL3-92,SeuratProject,292501,11132,7,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-92
N4-RL3-93,SeuratProject,264064,11077,5,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-93
N4-RL3-94,SeuratProject,344593,9703,6,N4,2,lumbar 3,lumbar,PEP.H5,N4-RL3-94
N4-RL3-95,SeuratProject,168310,7224,9,N4,2,lumbar 3,lumbar,PEP1.13,N4-RL3-95
N4-RL3-96,SeuratProject,173531,7414,4,N4,2,lumbar 3,lumbar,PEP.H8,N4-RL3-96
N4-RL3-98,SeuratProject,253895,9357,7,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-98
N4-RL3-99,SeuratProject,245202,10866,10,N4,2,lumbar 3,lumbar,NP1,N4-RL3-99
N4-RL3-100,SeuratProject,438872,12434,8,N4,2,lumbar 3,lumbar,PEP.H4,N4-RL3-100
N4-RL3-101,SeuratProject,119919,7184,9,N4,2,lumbar 3,lumbar,PEP1.13,N4-RL3-101
N4-RL3-102,SeuratProject,123163,8609,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-102
N4-RL3-103,SeuratProject,150212,7119,5,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-103
N4-RL3-104,SeuratProject,106472,5007,2,N4,2,lumbar 3,lumbar,PEP.H0,N4-RL3-104
N4-RL3-105,SeuratProject,147567,4830,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-105
N4-RL3-106,SeuratProject,91038,5384,9,N4,2,lumbar 3,lumbar,PEP1.13,N4-RL3-106
N4-RL3-107,SeuratProject,83514,5323,9,N4,2,lumbar 3,lumbar,PEP1.13,N4-RL3-107
N4-RL3-108,SeuratProject,123261,7475,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-108
N4-RL3-109,SeuratProject,105227,4946,11,N4,2,lumbar 3,lumbar,Ad.LTMR,N4-RL3-109
N4-RL3-111,SeuratProject,86306,3644,12,N4,2,lumbar 3,lumbar,NP3,N4-RL3-111
N4-RL3-112,SeuratProject,349244,10643,8,N4,2,lumbar 3,lumbar,PEP.H4,N4-RL3-112
N4-RL3-113,SeuratProject,142079,6696,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-113
N4-RL3-114,SeuratProject,134729,7534,2,N4,2,lumbar 3,lumbar,PEP.H0,N4-RL3-114
N4-RL3-115,SeuratProject,195213,9460,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-115
N4-RL3-116,SeuratProject,130583,6392,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-116
N4-RL3-117,SeuratProject,98995,6547,9,N4,2,lumbar 3,lumbar,PEP1.13,N4-RL3-117
N4-RL3-119,SeuratProject,277518,9379,0,N4,2,lumbar 3,lumbar,Propr,N4-RL3-119
N4-RL3-120,SeuratProject,204810,6812,0,N4,2,lumbar 3,lumbar,Propr,N4-RL3-120
N4-RL3-126,SeuratProject,429911,11917,13,N4,2,lumbar 3,lumbar,Ad.LTMR,N4-RL3-126
N4-RL3-127,SeuratProject,142446,7488,11,N4,2,lumbar 3,lumbar,Ad.LTMR,N4-RL3-127
N4-RL3-128,SeuratProject,200780,6724,11,N4,2,lumbar 3,lumbar,Ad.LTMR,N4-RL3-128
N4-RL3-129,SeuratProject,141726,7992,11,N4,2,lumbar 3,lumbar,Ad.LTMR,N4-RL3-129
N4-RL3-131,SeuratProject,610245,11033,7,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-131
N4-RL3-132,SeuratProject,545292,14424,17,N4,2,lumbar 3,lumbar,C.LTMR,N4-RL3-132
N4-RL3-133,SeuratProject,105366,7235,1,N4,3,lumbar 3,lumbar,NP1,N4-RL3-133
N4-RL3-134,SeuratProject,217463,7364,4,N4,3,lumbar 3,lumbar,PEP.H8,N4-RL3-134
N4-RL3-135,SeuratProject,559038,11487,16,N4,3,lumbar 3,lumbar,NP2,N4-RL3-135
N4-RL3-137,SeuratProject,942148,14429,7,N4,3,lumbar 3,lumbar,Ab.LTMR,N4-RL3-137
N4-RL3-138,SeuratProject,113707,5937,3,N4,3,lumbar 3,lumbar,C.LTMR,N4-RL3-138
N4-RL3-139,SeuratProject,348167,10419,11,N4,3,lumbar 3,lumbar,Ad.LTMR,N4-RL3-139
N4-RL3-140,SeuratProject,480563,12308,5,N4,3,lumbar 3,lumbar,Ab.LTMR,N4-RL3-140
N4-RL3-141,SeuratProject,187690,7992,13,N4,3,lumbar 3,lumbar,Ad.LTMR,N4-RL3-141
N4-RL3-142,SeuratProject,206124,8221,17,N4,3,lumbar 3,lumbar,C.LTMR,N4-RL3-142
N4-RL3-143,SeuratProject,397034,11144,15,N4,3,lumbar 3,lumbar,PEP.H4.15,N4-RL3-143
N4-RL3-144,SeuratProject,445978,11534,10,N4,3,lumbar 3,lumbar,NP1,N4-RL3-144
N4-RL3-145,SeuratProject,404211,11069,0,N4,3,lumbar 3,lumbar,Propr,N4-RL3-145
N4-RL3-146,SeuratProject,260181,8855,2,N4,3,lumbar 3,lumbar,PEP.H0,N4-RL3-146
N4-RL3-147,SeuratProject,134763,7423,12,N4,3,lumbar 3,lumbar,NP3,N4-RL3-147
N4-RL3-148,SeuratProject,149529,10064,10,N4,3,lumbar 3,lumbar,NP1,N4-RL3-148
N4-RL3-149,SeuratProject,212965,9013,0,N4,3,lumbar 3,lumbar,Propr,N4-RL3-149
N4-RL3-150,SeuratProject,180664,9112,14,N4,3,lumbar 3,lumbar,PEP3,N4-RL3-150
N4-RL3-151,SeuratProject,432875,12104,8,N4,3,lumbar 3,lumbar,PEP.H4,N4-RL3-151
N4-RL3-152,SeuratProject,412080,12299,6,N4,3,lumbar 3,lumbar,PEP.H5,N4-RL3-152
N4-RL3-153,SeuratProject,318399,11282,5,N4,3,lumbar 3,lumbar,Ab.LTMR,N4-RL3-153
N4-RL3-154,SeuratProject,463717,9966,7,N4,3,lumbar 3,lumbar,Ab.LTMR,N4-RL3-154
N4-RL3-155,SeuratProject,328195,11008,13,N4,3,lumbar 3,lumbar,Un.Gi,N4-RL3-155
N4-RL3-156,SeuratProject,465498,12013,5,N4,3,lumbar 3,lumbar,Un.Gi,N4-RL3-156
N4-RL3-157,SeuratProject,70302,3159,3,N4,3,lumbar 3,lumbar,PEP.H0,N4-RL3-157
N4-RL3-158,SeuratProject,276778,5307,3,N4,3,lumbar 3,lumbar,PEP.H0,N4-RL3-158
N4-RL3-159,SeuratProject,83982,6509,1,N4,3,lumbar 3,lumbar,NP1,N4-RL3-159
N4-RL3-161,SeuratProject,121192,7930,1,N4,3,lumbar 3,lumbar,NP1,N4-RL3-161
N4-RL3-163,SeuratProject,232654,8510,0,N4,3,lumbar 3,lumbar,Propr,N4-RL3-163
N4-RL3-164,SeuratProject,244599,9663,5,N4,3,lumbar 3,lumbar,Ab.LTMR,N4-RL3-164
N4-RL3-165,SeuratProject,69054,6888,5,N4,3,lumbar 3,lumbar,Ab.LTMR,N4-RL3-165
N4-RL3-166,SeuratProject,61751,4804,6,N4,3,lumbar 3,lumbar,PEP.H5,N4-RL3-166
N4-RL3-167,SeuratProject,269511,8539,2,N4,3,lumbar 3,lumbar,PEP.H0,N4-RL3-167
N4-RL3-168,SeuratProject,331262,6759,4,N4,3,lumbar 3,lumbar,PEP.H8,N4-RL3-168
N4-RL3-169,SeuratProject,168274,7494,0,N4,3,lumbar 3,lumbar,Propr,N4-RL3-169
N4-RL3-170,SeuratProject,528878,10902,6,N4,3,lumbar 3,lumbar,PEP.H5,N4-RL3-170
N4-RL3-171,SeuratProject,271073,7766,17,N4,3,lumbar 3,lumbar,C.LTMR,N4-RL3-171
N4-RL3-172,SeuratProject,179761,8247,0,N4,3,lumbar 3,lumbar,Propr,N4-RL3-172
N4-RL3-173,SeuratProject,98772,8635,5,N4,3,lumbar 3,lumbar,Ab.LTMR,N4-RL3-173
N4-RL3-174,SeuratProject,86843,6427,7,N4,3,lumbar 3,lumbar,Ab.LTMR,N4-RL3-174
N4-RL3-175,SeuratProject,293997,5888,3,N4,3,lumbar 3,lumbar,PEP.H0,N4-RL3-175
N4-RL3-176,SeuratProject,142084,3990,9,N4,3,lumbar 3,lumbar,PEP1.13,N4-RL3-176
N4-RL3-177,SeuratProject,314261,10018,1,N4,3,lumbar 3,lumbar,NP1,N4-RL3-177
N4-RL3-180,SeuratProject,33583,1280,3,N4,3,lumbar 3,lumbar,PEP.H0,N4-RL3-180
N4-RL3-181,SeuratProject,46593,3048,1,N4,3,lumbar 3,lumbar,NP1,N4-RL3-181
N4-RL3-182,SeuratProject,1169055,14051,8,N4,3,lumbar 3,lumbar,PEP.H4,N4-RL3-182
N4-RL3-183,SeuratProject,655413,13548,8,N4,3,lumbar 3,lumbar,PEP.H4,N4-RL3-183
N4-RL3-184,SeuratProject,306808,4650,3,N4,3,lumbar 3,lumbar,PEP.H0,N4-RL3-184
N4-RL3-185,SeuratProject,30902,4799,9,N4,3,lumbar 3,lumbar,PEP1.13,N4-RL3-185
N4-RL3-186,SeuratProject,133843,5257,11,N4,3,lumbar 3,lumbar,Ad.LTMR,N4-RL3-186
N4-RL3-187,SeuratProject,115055,9841,10,N4,3,lumbar 3,lumbar,NP1,N4-RL3-187
N4-RL3-188,SeuratProject,1533337,11172,7,N4,3,lumbar 3,lumbar,Ab.LTMR,N4-RL3-188
N4-RL3-191,SeuratProject,105970,8146,7,N4,3,lumbar 3,lumbar,Ab.LTMR,N4-RL3-191
N4-RL3-192,SeuratProject,258887,11062,13,N4,3,lumbar 3,lumbar,Ad.LTMR,N4-RL3-192
N4-RL3-193,SeuratProject,123577,6797,6,N4,3,lumbar 3,lumbar,PEP.H5,N4-RL3-193
N4-RL3-194,SeuratProject,458303,11673,4,N4,3,lumbar 3,lumbar,PEP.H8,N4-RL3-194
N4-RL3-195,SeuratProject,133808,3338,3,N4,3,lumbar 3,lumbar,PEP.H0,N4-RL3-195
N4-RL3-196,SeuratProject,162682,7120,11,N4,3,lumbar 3,lumbar,Ad.LTMR,N4-RL3-196
N4-RL3-197,SeuratProject,153514,6308,7,N4,3,lumbar 3,lumbar,Ab.LTMR,N4-RL3-197
N4-RL3-198,SeuratProject,113610,6022,2,N4,3,lumbar 3,lumbar,PEP.H0,N4-RL3-198
N4-RL3-199,SeuratProject,86863,6747,4,N4,3,lumbar 3,lumbar,PEP.H8,N4-RL3-199
N4-RT12-1,SeuratProject,449174,11266,10,N4,2,thoracic 12,thoracic,NP1,N4-RT12-1
N4-RT12-2,SeuratProject,141100,6694,7,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-2
N4-RT12-3,SeuratProject,85071,5531,12,N4,2,thoracic 12,thoracic,NP3,N4-RT12-3
N4-RT12-4,SeuratProject,113765,6778,4,N4,2,thoracic 12,thoracic,PEP.H8,N4-RT12-4
N4-RT12-5,SeuratProject,164597,9600,10,N4,2,thoracic 12,thoracic,NP1,N4-RT12-5
N4-RT12-9,SeuratProject,68574,5516,0,N4,2,thoracic 12,thoracic,Propr,N4-RT12-9
N4-RT12-10,SeuratProject,135021,8889,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-10
N4-RT12-11,SeuratProject,158758,9928,13,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-11
N4-RT12-13,SeuratProject,262661,10695,13,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-13
N4-RT12-14,SeuratProject,240420,9439,5,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-14
N4-RT12-15,SeuratProject,86762,6465,4,N4,2,thoracic 12,thoracic,PEP.H8,N4-RT12-15
N4-RT12-16,SeuratProject,307505,11391,13,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-16
N4-RT12-17,SeuratProject,176554,5160,11,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-17
N4-RT12-18,SeuratProject,249397,10918,8,N4,2,thoracic 12,thoracic,PEP.H4,N4-RT12-18
N4-RT12-19,SeuratProject,102153,4729,3,N4,2,thoracic 12,thoracic,PEP.H0,N4-RT12-19
N4-RT12-20,SeuratProject,118220,5162,3,N4,2,thoracic 12,thoracic,PEP.H0,N4-RT12-20
N4-RT12-21,SeuratProject,161386,6013,7,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-21
N4-RT12-22,SeuratProject,110782,4943,3,N4,2,thoracic 12,thoracic,PEP.H0,N4-RT12-22
N4-RT12-23,SeuratProject,365895,8599,0,N4,2,thoracic 12,thoracic,Propr,N4-RT12-23
N4-RT12-24,SeuratProject,201855,8248,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-24
N4-RT12-25,SeuratProject,185335,8193,13,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-25
N4-RT12-26,SeuratProject,59807,6350,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-26
N4-RT12-27,SeuratProject,108663,6419,7,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-27
N4-RT12-28,SeuratProject,302353,11646,9,N4,2,thoracic 12,thoracic,PEP1.13,N4-RT12-28
N4-RT12-29,SeuratProject,63762,5578,12,N4,2,thoracic 12,thoracic,NP3,N4-RT12-29
N4-RT12-30,SeuratProject,102681,8227,12,N4,2,thoracic 12,thoracic,NP3,N4-RT12-30
N4-RT12-31,SeuratProject,105053,8407,10,N4,2,thoracic 12,thoracic,NP1,N4-RT12-31
N4-RT12-32,SeuratProject,239253,10104,0,N4,2,thoracic 12,thoracic,Propr,N4-RT12-32
N4-RT12-33,SeuratProject,239775,10467,7,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-33
N4-RT12-34,SeuratProject,172570,10087,8,N4,2,thoracic 12,thoracic,PEP.H4,N4-RT12-34
N4-RT12-35,SeuratProject,65008,5772,9,N4,2,thoracic 12,thoracic,PEP1.13,N4-RT12-35
N4-RT12-36,SeuratProject,60731,3189,0,N4,2,thoracic 12,thoracic,Propr,N4-RT12-36
N4-RT12-37,SeuratProject,190297,8319,8,N4,2,thoracic 12,thoracic,PEP.H4,N4-RT12-37
N4-RT12-38,SeuratProject,78820,6131,7,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-38
N4-RT12-39,SeuratProject,69749,4998,9,N4,2,thoracic 12,thoracic,PEP1.13,N4-RT12-39
N4-RT12-40,SeuratProject,143081,8591,4,N4,2,thoracic 12,thoracic,PEP.H8,N4-RT12-40
N4-RT12-41,SeuratProject,166824,8526,7,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-41
N4-RT12-42,SeuratProject,60015,7197,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-42
N4-RT12-43,SeuratProject,91580,8205,5,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-43
N4-RT12-45,SeuratProject,86755,7519,6,N4,2,thoracic 12,thoracic,PEP.H5,N4-RT12-45
N4-RT12-46,SeuratProject,52635,5176,2,N4,2,thoracic 12,thoracic,PEP.H0,N4-RT12-46
N4-RT12-47,SeuratProject,89264,6320,12,N4,2,thoracic 12,thoracic,NP3,N4-RT12-47
N4-RT12-48,SeuratProject,75906,6634,9,N4,2,thoracic 12,thoracic,PEP1.13,N4-RT12-48
N4-RT12-49,SeuratProject,231005,10295,13,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-49
N4-RT12-50,SeuratProject,116066,8047,5,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-50
N4-RT12-51,SeuratProject,51379,5085,6,N4,2,thoracic 12,thoracic,PEP.H5,N4-RT12-51
N4-RT12-52,SeuratProject,90391,4552,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-52
N4-RT12-53,SeuratProject,98688,7492,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-53
N4-RT12-54,SeuratProject,176065,8339,8,N4,2,thoracic 12,thoracic,PEP.H4,N4-RT12-54
N4-RT12-55,SeuratProject,209737,10038,10,N4,2,thoracic 12,thoracic,NP1,N4-RT12-55
N4-RT12-56,SeuratProject,237652,10727,8,N4,2,thoracic 12,thoracic,PEP.H4,N4-RT12-56
N4-RT12-57,SeuratProject,85159,5311,2,N4,2,thoracic 12,thoracic,PEP.H0,N4-RT12-57
N4-RT12-58,SeuratProject,125447,7298,16,N4,2,thoracic 12,thoracic,NP2,N4-RT12-58
N4-RT12-59,SeuratProject,371704,11606,4,N4,2,thoracic 12,thoracic,PEP.H8,N4-RT12-59
N4-RT12-60,SeuratProject,55705,6047,14,N4,2,thoracic 12,thoracic,PEP3,N4-RT12-60
N4-RT12-61,SeuratProject,70053,5974,9,N4,2,thoracic 12,thoracic,PEP1.13,N4-RT12-61
N4-RT12-62,SeuratProject,71301,6084,4,N4,2,thoracic 12,thoracic,PEP.H8,N4-RT12-62
N4-RT12-63,SeuratProject,94451,5818,11,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-63
N4-RT12-64,SeuratProject,74668,6302,3,N4,2,thoracic 12,thoracic,PEP.H0,N4-RT12-64
N4-RT12-65,SeuratProject,444327,11932,4,N4,2,thoracic 12,thoracic,PEP.H8,N4-RT12-65
N4-RT12-66,SeuratProject,157946,7105,11,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-66
N4-RT12-67,SeuratProject,117612,6430,6,N4,2,thoracic 12,thoracic,PEP.H5,N4-RT12-67
N4-RT12-68,SeuratProject,309534,10598,5,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-68
N4-RT12-69,SeuratProject,249086,7056,7,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-69
N4-RT12-70,SeuratProject,156705,7684,15,N4,2,thoracic 12,thoracic,PEP.H4.15,N4-RT12-70
N4-RT12-71,SeuratProject,445637,11624,13,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-71
N4-RT12-72,SeuratProject,147337,7967,5,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-72
N4-RT12-73,SeuratProject,277107,10911,8,N4,2,thoracic 12,thoracic,PEP.H4,N4-RT12-73
N4-RT12-74,SeuratProject,112321,6806,2,N4,2,thoracic 12,thoracic,PEP.H0,N4-RT12-74
N4-RT12-75,SeuratProject,79230,6051,0,N4,2,thoracic 12,thoracic,Propr,N4-RT12-75
N4-RT12-76,SeuratProject,167989,8805,8,N4,2,thoracic 12,thoracic,PEP.H4,N4-RT12-76
N4-RT12-77,SeuratProject,221228,8909,0,N4,2,thoracic 12,thoracic,Propr,N4-RT12-77
N4-RT12-78,SeuratProject,132696,5842,2,N4,2,thoracic 12,thoracic,PEP.H0,N4-RT12-78
N4-RT12-79,SeuratProject,211624,10355,15,N4,2,thoracic 12,thoracic,PEP.H4.15,N4-RT12-79
N4-RT12-80,SeuratProject,117364,6034,11,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-80
N4-RT12-81,SeuratProject,108459,7122,0,N4,2,thoracic 12,thoracic,Un.Gi,N4-RT12-81
N4-RT12-82,SeuratProject,127748,7426,0,N4,2,thoracic 12,thoracic,Propr,N4-RT12-82
N4-RT12-83,SeuratProject,125307,7581,12,N4,2,thoracic 12,thoracic,NP3,N4-RT12-83
N4-RT12-84,SeuratProject,95705,6434,9,N4,2,thoracic 12,thoracic,PEP1.13,N4-RT12-84
N4-RT12-85,SeuratProject,201365,7781,0,N4,2,thoracic 12,thoracic,Propr,N4-RT12-85
N4-RT12-86,SeuratProject,125358,7471,11,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-86
N4-RT12-87,SeuratProject,91374,4142,6,N4,2,thoracic 12,thoracic,PEP.H5,N4-RT12-87
N4-RT12-88,SeuratProject,40400,3827,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-88
N4-RT12-89,SeuratProject,119044,8725,11,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-89
N4-RT12-90,SeuratProject,99173,7849,10,N4,2,thoracic 12,thoracic,NP1,N4-RT12-90
N4-RT12-91,SeuratProject,77442,5734,14,N4,2,thoracic 12,thoracic,PEP3,N4-RT12-91
N4-RT12-92,SeuratProject,66403,4991,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-92
N4-RT12-93,SeuratProject,90016,6397,16,N4,2,thoracic 12,thoracic,NP2,N4-RT12-93
N4-RT12-94,SeuratProject,100553,6142,14,N4,2,thoracic 12,thoracic,PEP3,N4-RT12-94
N4-RT12-95,SeuratProject,117323,5654,2,N4,2,thoracic 12,thoracic,PEP.H0,N4-RT12-95
N4-RT12-96,SeuratProject,91630,7943,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-96
N4-RT12-97,SeuratProject,67157,5824,10,N4,2,thoracic 12,thoracic,NP1,N4-RT12-97
N4-RT12-98,SeuratProject,107563,7316,1,N4,2,thoracic 12,thoracic,NP1,N4-RT12-98
N4-RT12-99,SeuratProject,110402,6751,9,N4,2,thoracic 12,thoracic,PEP1.13,N4-RT12-99
N4-RT12-100,SeuratProject,153192,8444,5,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-100
N4-RT12-101,SeuratProject,99659,6335,3,N4,2,thoracic 12,thoracic,TRPM8,N4-RT12-101
N4-RT12-102,SeuratProject,253457,9226,13,N4,2,thoracic 12,thoracic,Ad.LTMR,N4-RT12-102
N4-RT12-103,SeuratProject,72705,5306,9,N4,2,thoracic 12,thoracic,PEP1.13,N4-RT12-103
N4-RT12-104,SeuratProject,95472,5897,6,N4,2,thoracic 12,thoracic,PEP.H5,N4-RT12-104
N4-RT12-105,SeuratProject,302433,10379,5,N4,2,thoracic 12,thoracic,Ab.LTMR,N4-RT12-105
N4-RT12-106,SeuratProject,142267,5983,4,N4,2,thoracic 12,thoracic,PEP.H8,N4-RT12-106
