,orig.ident,nCount_RNA,nFeature_RNA,seurat_clusters,donor,batch,location,level,cl.conserv_final,sample_id
N2-RL5-160,SeuratProject,153719,9315,1,N2,3,lumbar 5,lumbar,NP1,N2-RL5-160
N2-RL5-162,SeuratProject,54912,3418,1,N2,3,lumbar 5,lumbar,NP1,N2-RL5-162
N2-RL5-163,SeuratProject,71559,6445,1,N2,3,lumbar 5,lumbar,NP1,N2-RL5-163
N2-RL5-164,SeuratProject,134916,8792,4,N2,3,lumbar 5,lumbar,PEP.H8,N2-RL5-164
N2-RL5-165,SeuratProject,117016,4569,3,N2,3,lumbar 5,lumbar,Ab.LTMR,N2-RL5-165
N2-RL5-166,SeuratProject,130649,3137,3,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-166
N2-RL5-167,SeuratProject,65753,5643,9,N2,3,lumbar 5,lumbar,PEP1.13,N2-RL5-167
N2-RL5-169,SeuratProject,108206,7215,5,N2,3,lumbar 5,lumbar,Ab.LTMR,N2-RL5-169
N2-RL5-170,SeuratProject,186568,10074,2,N2,3,lumbar 5,lumbar,Un.Gi,N2-RL5-170
N2-RL5-171,SeuratProject,71604,6106,12,N2,3,lumbar 5,lumbar,NP3,N2-RL5-171
N2-RL5-173,SeuratProject,107298,5871,7,N2,3,lumbar 5,lumbar,Ab.LTMR,N2-RL5-173
N2-RL5-174,SeuratProject,100650,7113,6,N2,3,lumbar 5,lumbar,PEP.H5,N2-RL5-174
N2-RL5-175,SeuratProject,307922,11680,0,N2,3,lumbar 5,lumbar,Propr,N2-RL5-175
N2-RL5-176,SeuratProject,402587,11948,8,N2,3,lumbar 5,lumbar,PEP.H4,N2-RL5-176
N2-RL5-177,SeuratProject,118797,2913,3,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-177
N2-RL5-178,SeuratProject,103017,6641,14,N2,3,lumbar 5,lumbar,PEP3,N2-RL5-178
N2-RL5-179,SeuratProject,93086,3917,1,N2,3,lumbar 5,lumbar,NP1,N2-RL5-179
N2-RL5-180,SeuratProject,165363,5763,0,N2,3,lumbar 5,lumbar,Propr,N2-RL5-180
N2-RL5-181,SeuratProject,95838,5497,11,N2,3,lumbar 5,lumbar,Ad.LTMR,N2-RL5-181
N2-RL5-182,SeuratProject,106940,2995,3,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-182
N2-RL5-183,SeuratProject,283548,10073,17,N2,3,lumbar 5,lumbar,TRPM8,N2-RL5-183
N2-RL5-184,SeuratProject,56006,3307,3,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-184
N2-RL5-185,SeuratProject,104048,3991,3,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-185
N2-RL5-186,SeuratProject,118634,7828,5,N2,3,lumbar 5,lumbar,Ab.LTMR,N2-RL5-186
N2-RL5-187,SeuratProject,101658,5896,0,N2,3,lumbar 5,lumbar,Propr,N2-RL5-187
N2-RL5-188,SeuratProject,84263,3424,3,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-188
N2-RL5-189,SeuratProject,65141,5827,2,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-189
N2-RL5-190,SeuratProject,82429,5226,9,N2,3,lumbar 5,lumbar,PEP1.13,N2-RL5-190
N2-RL5-191,SeuratProject,151997,5808,3,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-191
N2-RL5-192,SeuratProject,138391,8321,0,N2,3,lumbar 5,lumbar,Propr,N2-RL5-192
N2-RL5-193,SeuratProject,91926,2567,3,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-193
N2-RT12-1,SeuratProject,212169,10803,10,N2,1,thoracic 12,thoracic,NP1,N2-RT12-1
N2-RT12-2,SeuratProject,140858,5551,3,N2,1,thoracic 12,thoracic,PEP.H0,N2-RT12-2
N2-RT12-3,SeuratProject,142942,6600,0,N2,1,thoracic 12,thoracic,Propr,N2-RT12-3
N2-RT12-5,SeuratProject,131239,5173,3,N2,1,thoracic 12,thoracic,PEP.H0,N2-RT12-5
N2-RT12-6,SeuratProject,699065,13016,0,N2,1,thoracic 12,thoracic,Propr,N2-RT12-6
N2-RT12-7,SeuratProject,290521,11134,12,N2,1,thoracic 12,thoracic,NP3,N2-RT12-7
N2-RT12-8,SeuratProject,312123,11027,1,N2,1,thoracic 12,thoracic,NP1,N2-RT12-8
N2-RT12-9,SeuratProject,169089,8726,11,N2,1,thoracic 12,thoracic,Ad.LTMR,N2-RT12-9
N2-RT12-10,SeuratProject,145955,7166,11,N2,1,thoracic 12,thoracic,Ad.LTMR,N2-RT12-10
N2-RT12-11,SeuratProject,305157,8776,9,N2,1,thoracic 12,thoracic,PEP1.13,N2-RT12-11
N2-RT12-12,SeuratProject,451442,12811,13,N2,1,thoracic 12,thoracic,Ad.LTMR,N2-RT12-12
N2-RT12-14,SeuratProject,79676,7255,7,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-14
N2-RT12-15,SeuratProject,61115,6449,4,N2,1,thoracic 12,thoracic,PEP.H8,N2-RT12-15
N2-RT12-16,SeuratProject,430342,12372,5,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-16
N2-RT12-17,SeuratProject,209990,9737,4,N2,1,thoracic 12,thoracic,PEP.H8,N2-RT12-17
N2-RT12-20,SeuratProject,75454,7129,1,N2,1,thoracic 12,thoracic,NP1,N2-RT12-20
N2-RT12-21,SeuratProject,243546,9505,16,N2,1,thoracic 12,thoracic,NP2,N2-RT12-21
N2-RT12-22,SeuratProject,98885,6142,17,N2,1,thoracic 12,thoracic,C.LTMR,N2-RT12-22
N2-RT12-23,SeuratProject,102688,7615,7,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-23
N2-RT12-24,SeuratProject,91314,7014,6,N2,1,thoracic 12,thoracic,PEP.H5,N2-RT12-24
N2-RT12-25,SeuratProject,83212,7172,6,N2,1,thoracic 12,thoracic,PEP.H5,N2-RT12-25
N2-RT12-26,SeuratProject,73488,7188,4,N2,1,thoracic 12,thoracic,PEP.H8,N2-RT12-26
N2-RT12-27,SeuratProject,247711,9808,5,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-27
N2-RT12-28,SeuratProject,52768,5685,4,N2,1,thoracic 12,thoracic,PEP.H8,N2-RT12-28
N2-RT12-29,SeuratProject,118240,6991,7,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-29
N2-RT12-30,SeuratProject,83405,8282,2,N2,1,thoracic 12,thoracic,PEP.H0,N2-RT12-30
N2-RT12-31,SeuratProject,68500,6746,6,N2,1,thoracic 12,thoracic,PEP.H5,N2-RT12-31
N2-RT12-32,SeuratProject,119198,6403,3,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-32
N2-RT12-33,SeuratProject,281565,11161,13,N2,1,thoracic 12,thoracic,Ad.LTMR,N2-RT12-33
N2-RT12-34,SeuratProject,99562,7223,12,N2,1,thoracic 12,thoracic,NP3,N2-RT12-34
N2-RT12-35,SeuratProject,239941,10387,5,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-35
N2-RT12-36,SeuratProject,54733,5994,2,N2,1,thoracic 12,thoracic,PEP.H0,N2-RT12-36
N2-RT12-38,SeuratProject,246557,10513,10,N2,1,thoracic 12,thoracic,NP1,N2-RT12-38
N2-RT12-39,SeuratProject,99289,7176,11,N2,1,thoracic 12,thoracic,Ad.LTMR,N2-RT12-39
N2-RT12-40,SeuratProject,277965,9336,1,N2,1,thoracic 12,thoracic,NP1,N2-RT12-40
N2-RT12-41,SeuratProject,70006,6569,11,N2,1,thoracic 12,thoracic,Ad.LTMR,N2-RT12-41
N2-RT12-42,SeuratProject,97974,6748,3,N2,1,thoracic 12,thoracic,PEP.H0,N2-RT12-42
N2-RT12-43,SeuratProject,322722,8111,6,N2,1,thoracic 12,thoracic,PEP.H5,N2-RT12-43
N2-RT12-44,SeuratProject,775828,10926,7,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-44
N2-RT12-46,SeuratProject,381736,11104,6,N2,1,thoracic 12,thoracic,PEP.H5,N2-RT12-46
N2-RT12-47,SeuratProject,184720,7061,3,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-47
N2-RT12-49,SeuratProject,123625,6605,3,N2,1,thoracic 12,thoracic,PEP.H0,N2-RT12-49
N2-RT12-50,SeuratProject,5020,2061,2,N2,1,thoracic 12,thoracic,PEP.H0,N2-RT12-50
N2-RT12-51,SeuratProject,420519,9075,4,N2,1,thoracic 12,thoracic,PEP.H8,N2-RT12-51
N2-RT12-52,SeuratProject,95946,6735,6,N2,1,thoracic 12,thoracic,PEP.H5,N2-RT12-52
N2-RT12-53,SeuratProject,91112,5966,7,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-53
N2-RT12-54,SeuratProject,67126,4764,3,N2,1,thoracic 12,thoracic,PEP.H0,N2-RT12-54
N2-RT12-55,SeuratProject,143983,7369,7,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-55
N2-RT12-56,SeuratProject,153683,7837,12,N2,1,thoracic 12,thoracic,NP3,N2-RT12-56
N2-RT12-57,SeuratProject,118576,6008,0,N2,1,thoracic 12,thoracic,Propr,N2-RT12-57
N2-RT12-58,SeuratProject,175509,10619,10,N2,1,thoracic 12,thoracic,NP1,N2-RT12-58
N2-RT12-59,SeuratProject,70517,6151,1,N2,1,thoracic 12,thoracic,NP1,N2-RT12-59
N2-RT12-60,SeuratProject,293461,11357,16,N2,1,thoracic 12,thoracic,NP2,N2-RT12-60
N2-RT12-61,SeuratProject,300485,11110,8,N2,1,thoracic 12,thoracic,PEP.H4,N2-RT12-61
N2-RT12-62,SeuratProject,80158,5866,2,N2,1,thoracic 12,thoracic,Un.Gi,N2-RT12-62
N2-RT12-63,SeuratProject,95886,7340,5,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-63
N2-RT12-64,SeuratProject,114560,8044,1,N2,1,thoracic 12,thoracic,NP1,N2-RT12-64
N2-RT12-65,SeuratProject,214058,7317,12,N2,1,thoracic 12,thoracic,NP3,N2-RT12-65
N2-RT12-66,SeuratProject,112808,6593,11,N2,1,thoracic 12,thoracic,Ad.LTMR,N2-RT12-66
N2-RT12-67,SeuratProject,66640,6412,1,N2,1,thoracic 12,thoracic,NP1,N2-RT12-67
N2-RT12-68,SeuratProject,58959,6485,1,N2,1,thoracic 12,thoracic,NP1,N2-RT12-68
N2-RT12-69,SeuratProject,146630,8401,4,N2,1,thoracic 12,thoracic,PEP.H8,N2-RT12-69
N2-RT12-70,SeuratProject,86018,6988,11,N2,1,thoracic 12,thoracic,Ad.LTMR,N2-RT12-70
N2-RT12-71,SeuratProject,98320,7408,11,N2,1,thoracic 12,thoracic,Ad.LTMR,N2-RT12-71
N2-RT12-72,SeuratProject,92804,7525,0,N2,1,thoracic 12,thoracic,Propr,N2-RT12-72
N2-RT12-73,SeuratProject,145531,6333,3,N2,1,thoracic 12,thoracic,PEP.H0,N2-RT12-73
N2-RT12-74,SeuratProject,181029,8378,7,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-74
N2-RT12-75,SeuratProject,186556,7592,12,N2,1,thoracic 12,thoracic,NP3,N2-RT12-75
N2-RT12-76,SeuratProject,116383,5806,7,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-76
N2-RT12-77,SeuratProject,164097,9130,1,N2,1,thoracic 12,thoracic,NP1,N2-RT12-77
N2-RT12-78,SeuratProject,144768,9503,13,N2,1,thoracic 12,thoracic,Ad.LTMR,N2-RT12-78
N2-RT12-79,SeuratProject,168737,10306,12,N2,1,thoracic 12,thoracic,NP3,N2-RT12-79
